Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part
1866,5,200,rectangle_java.jpg,rectangle_java.jpg,1895357739,96,607.7095833,267.04333330000003,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
1867,5,200,rectangle_java.jpg,rectangle_java.jpg,1895808845,80,681.456,216.706,616,215,80,19,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1
1868,5,200,rectangle_java.jpg,rectangle_java.jpg,1896460679,184,640.513913,215.4593478,616,215,80,19,private,7,class->block->decl_stmt->decl->type->specifier,70,2,1
1869,5,200,rectangle_java.jpg,rectangle_java.jpg,1897024735,92,617.0134783,261.2669565,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
1870,5,200,rectangle_java.jpg,rectangle_java.jpg,1897112744,84,620.7561905,268.6495238,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
1871,5,200,rectangle_java.jpg,rectangle_java.jpg,1897212751,96,625.3375,273.17,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
1872,5,200,rectangle_java.jpg,rectangle_java.jpg,1897472741,256,629.9215625,269.2045313,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
1873,5,200,rectangle_java.jpg,rectangle_java.jpg,1898184518,180,739.4111111000001,270.6797778,695,257,101,19,Rectangle,9,class->block->constructor->name,70,3,2
1874,5,200,rectangle_java.jpg,rectangle_java.jpg,1898488658,72,789.6066667,272.6338889,695,257,101,19,Rectangle,9,class->block->constructor->name,70,3,2
1875,5,200,rectangle_java.jpg,rectangle_java.jpg,1900284504,128,629.751875,273.9053125,616,257,69,19,public,6,class->block->constructor->specifier,70,3,1
1876,5,200,rectangle_java.jpg,rectangle_java.jpg,1900740481,172,701.6409302000001,298.0548837,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,4,1
1877,5,200,rectangle_java.jpg,rectangle_java.jpg,1900852493,108,706.2718518999999,294.1985185,677,299,78,16,this.x1,7,class->block->constructor->block->block_content->expr_stmt->expr->name->name->operator->name,70,4,1
