trial,participant,code_file,code_language,Comprehension_Question_Result,complexity,expertise,scan_path
5,147,vehicle_java2.jpg,vehicle_java2.jpg,0,B,medium,Punctuation → Assignment → Variable Declaration → Class Declaration → Class Declaration → Punctuation → Punctuation → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Punctuation → Variable Declaration → Punctuation → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Assignment → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Punctuation → Assignment → Parameter → Parameter → Assignment → Punctuation → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Constructor Declaration → Constructor Declaration → Punctuation → Assignment → Assignment → Assignment → Punctuation → Punctuation → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Parameter → Parameter → Parameter → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Parameter → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Assignment → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Return → Return → Return → Return → Return → Return → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Object Instantiation → Argument → Assignment → Assignment → Assignment → Punctuation → Punctuation → Method Call → Parameter → Argument → Conditional Statement → Conditional Statement → Argument → Parameter → Parameter → Parameter → Assignment → Punctuation → Assignment → Assignment → Assignment → Assignment → Assignment → Punctuation → Method Call → Method Call → Method Call → Method Call → Assignment → Conditional Statement → Assignment
2,147,rectangle_java2.jpg,rectangle_java2.jpg,1,A,medium,Variable Declaration → Parameter → Variable Declaration → Constructor Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Parameter → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Constructor Declaration → Constructor Declaration → Assignment → Constructor Declaration → Assignment → Class Declaration → Parameter → Parameter → Return → Return → Return → Variable → Variable → Variable → Variable → Variable → Variable → Punctuation → Method Declaration → Method Declaration → Operator → Operator → Operator → Variable → Parameter → Punctuation → Method Declaration → Method Declaration → Method Declaration → Variable → Variable → Variable → Variable → Variable → Variable → Variable → Method Call → Variable → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Return → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Punctuation → Punctuation → Variable → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Parameter → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Punctuation → Parameter → Return → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Call → Operator → Method Call → Variable → Return → Return → Method Call → Return → Return → Return → Operator → Variable → Operator → Method Call → Punctuation → Method Call → Operator → Operator → Operator → Method Call → Punctuation → Variable → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Method Declaration → Parameter → Method Call → Parameter → Variable Declaration → Variable Declaration → Method Declaration → Object Instantiation → Object Instantiation → Variable Declaration → Method Call → Method Call → Object Instantiation → Argument → Argument → Argument → Argument → Argument → Argument → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Object Instantiation → Object Instantiation → Method Call → Punctuation → Argument → Argument → Punctuation → Punctuation → Argument → Punctuation → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Operator → Operator → Return → Method Call → Method Call → Method Call → Variable → Object Instantiation → Object Instantiation → Object Instantiation → Method Call → Method Call → Parameter → Parameter → Argument → Argument → Method Call → Parameter → Parameter → Argument → Argument → Argument → Argument → Object Instantiation → Argument → Argument → Argument → Argument → Method Call → Method Call → Argument → Argument → Argument → Argument → Punctuation → Argument → Variable Declaration → Variable Declaration → Variable Declaration → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Object Instantiation → Method Call
5,51,rectangle_java2.jpg,rectangle_java2.jpg,0,A,medium,Assignment → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Return → Return → Return → Variable → Variable → Variable → Variable → Variable → Operator → Operator → Return → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Punctuation → Return → Return → Variable → Variable → Variable → Variable → Return → Return → Return → Variable → Variable → Variable → Operator → Operator → Operator → Operator → Operator → Operator → Operator → Variable → Variable → Variable → Return → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Return → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Parameter → Parameter → Parameter → Parameter → Method Call → Parameter → Parameter → Variable Declaration → Variable Declaration → Method Declaration → Method Declaration → Method Declaration → Parameter → Parameter → Parameter → Argument → Variable Declaration → Variable Declaration → Variable Declaration → Method Call → Variable Declaration → Variable Declaration → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Variable Declaration → Method Call → Method Call → Argument → Argument → Argument → Argument → Object Instantiation → Object Instantiation → Object Instantiation → Argument → Return → Parameter → Parameter → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Variable Declaration → Method Call → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration
2,51,vehicle_java2.jpg,vehicle_java2.jpg,0,B,medium,Assignment → Assignment → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Assignment → Constructor Declaration → Constructor Declaration → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Assignment → Class Declaration → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Punctuation → Punctuation → Parameter → Parameter → Punctuation → Parameter → Parameter → Method Declaration → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Punctuation → Conditional Statement → Method Declaration → Method Declaration → Conditional Statement → Punctuation → Punctuation → Parameter → Assignment → Assignment → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Parameter → Method Declaration → Punctuation → Punctuation → Return → Method Call → Method Call → Method Call → Punctuation → Punctuation → Method Call → Method Call → Method Call
5,178,vehicle_java2.jpg,vehicle_java2.jpg,0,B,high,Assignment → Class Declaration → Variable Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Punctuation → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Variable Declaration → Assignment → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Parameter → Parameter → Class Declaration → Variable Declaration → Parameter → Parameter → Parameter → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Assignment → Assignment → Assignment → Assignment → Punctuation → Assignment → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Operator → Operator → Method Declaration → Conditional Statement → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Object Instantiation → Object Instantiation → Object Instantiation → Method Call → Punctuation → Method Call → Object Instantiation → Object Instantiation → Argument → Argument → Argument → Argument → Method Call → Method Call
2,178,rectangle_java2.jpg,rectangle_java2.jpg,1,A,high,Variable Declaration → Constructor Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Variable Declaration → Variable Declaration → Parameter → Parameter → Parameter → Parameter → Parameter → Punctuation → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Assignment → Variable Declaration → Parameter → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Variable → Variable → Variable → Variable → Variable → Operator → Operator → Operator → Operator → Operator → Variable → Variable → Variable → Operator → Method Declaration → Method Declaration → Method Declaration → Variable → Variable → Punctuation → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Operator → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Variable → Method Call → Method Call → Operator → Method Call → Operator → Operator → Punctuation → Punctuation → Assignment → Assignment → Parameter → Parameter → Operator → Operator → Operator → Operator → Variable Declaration → Variable Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Parameter → Method Call → Parameter → Method Call → Method Call → Method Call → Method Call → Operator → Method Call → Method Call → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Punctuation → Object Instantiation → Method Declaration → Variable Declaration → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Method Call → Method Call → Method Call → Operator → Operator → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Call → Parameter → Parameter → Method Call → Parameter → Parameter → Parameter → Parameter → Parameter → Parameter → Method Call → Method Call → Method Call → Method Call → Method Call → Method Declaration → Variable Declaration → Variable Declaration → Object Instantiation → Parameter → Parameter → Parameter → Object Instantiation → Punctuation → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Punctuation → Variable Declaration → Variable Declaration → Constructor Declaration → Parameter → Argument → Variable Declaration → Variable Declaration → Method Call → Argument → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Punctuation → Punctuation → Method Call → Method Call → Argument → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Punctuation → Punctuation → Punctuation → Method Declaration
2,140,vehicle_java2.jpg,vehicle_java2.jpg,0,B,high,Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Punctuation → Parameter → Assignment → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Assignment → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Punctuation → Assignment → Assignment → Method Declaration → Conditional Statement → Method Declaration → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Conditional Statement → Method Declaration → Conditional Statement → Method Declaration → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Punctuation → Parameter → Parameter → Parameter → Parameter → Parameter → Method Declaration → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Parameter → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Conditional Statement → Conditional Statement → Parameter → Conditional Statement → Assignment → Assignment → Conditional Statement → Assignment → Conditional Statement → Assignment → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Conditional Statement → Conditional Statement → Assignment → Assignment → Conditional Statement → Assignment → Assignment → Conditional Statement → Assignment → Assignment → Return → Return → Return → Return → Return → Return → Return → Return → Return → Return → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Variable Declaration → Variable Declaration → Method Declaration → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Variable Declaration → Variable Declaration → Method Declaration → Operator → Object Instantiation → Method Declaration → Method Declaration → Parameter → Method Call → Method Call → Method Call → Punctuation → Punctuation → Argument → Argument → Argument → Argument → Punctuation → Method Call → Method Call → Punctuation → Punctuation → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Argument → Punctuation
5,140,rectangle_java2.jpg,rectangle_java2.jpg,0,A,high,Assignment → Assignment → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Class Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Parameter → Punctuation → Parameter → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Variable Declaration → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Variable → Variable → Return → Return → Variable → Operator → Operator → Operator → Operator → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Call → Method Declaration → Method Declaration → Method Declaration → Parameter → Parameter → Punctuation → Punctuation → Parameter → Parameter → Method Call → Return → Parameter → Method Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Punctuation → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Punctuation → Punctuation → Variable Declaration → Variable Declaration → Method Call → Object Instantiation → Parameter → Punctuation → Method Call → Variable Declaration → Variable Declaration → Variable Declaration → Argument → Punctuation → Operator → Variable Declaration → Variable Declaration → Method Call → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Method Call → Object Instantiation → Argument → Argument → Object Instantiation → Object Instantiation → Punctuation → Variable Declaration → Method Declaration → Method Declaration → Parameter → Return → Return
5,56,rectangle_java2.jpg,rectangle_java2.jpg,1,A,high,Constructor Declaration → Parameter → Punctuation → Parameter → Parameter → Parameter → Parameter → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Constructor Declaration → Variable Declaration → Method Declaration → Assignment → Assignment → Assignment → Assignment → Assignment → Method Declaration → Method Declaration → Method Declaration → Variable → Variable → Variable → Variable → Operator → Operator → Operator → Operator → Operator → Operator → Operator → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Return → Return → Variable → Variable → Variable → Variable → Operator → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Return → Return → Method Call → Method Call → Operator → Return → Method Declaration → Method Declaration → Method Call → Method Call → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Method Declaration → Method Declaration → Parameter → Parameter → Parameter → Punctuation → Punctuation → Object Instantiation → Variable Declaration → Variable Declaration → Variable Declaration → Object Instantiation → Object Instantiation → Object Instantiation → Parameter → Object Instantiation → Parameter → Punctuation → Punctuation → Punctuation → Method Call → Parameter → Method Declaration → Method Declaration → Method Call → Method Call → Return → Return → Method Call → Operator → Argument → Object Instantiation → Operator → Operator → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Argument → Method Call → Parameter → Variable Declaration → Variable Declaration → Method Call → Method Call → Method Call → Method Call → Method Call → Argument → Argument → Punctuation → Argument → Object Instantiation → Object Instantiation → Variable Declaration → Variable Declaration → Variable Declaration → Object Instantiation → Object Instantiation → Object Instantiation → Object Instantiation → Method Call → Method Declaration → Method Declaration → Method Declaration → Method Call → Return → Method Call → Method Call → Method Call → Method Call → Method Call → Return → Punctuation
2,56,vehicle_java2.jpg,vehicle_java2.jpg,1,B,high,Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Constructor Declaration → Parameter → Parameter → Parameter → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Constructor Declaration → Parameter → Parameter → Variable Declaration → Variable Declaration → Variable Declaration → Variable Declaration → Constructor Declaration → Assignment → Assignment → Assignment → Parameter → Assignment → Assignment → Assignment → Constructor Declaration → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Variable Declaration → Variable Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Assignment → Assignment → Assignment → Variable Declaration → Variable Declaration → Class Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Method Declaration → Constructor Declaration → Assignment → Variable Declaration → Method Declaration → Method Declaration → Parameter → Punctuation → Parameter → Parameter → Parameter → Parameter → Parameter → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Assignment → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Conditional Statement → Assignment → Parameter → Parameter → Parameter → Object Instantiation → Method Call → Method Call → Method Call → Method Call → Argument → Argument → Method Call → Method Call → Assignment → Assignment → Conditional Statement → Punctuation → Punctuation → Parameter → Method Call → Method Call → Assignment → Constructor Declaration → Variable Declaration → Parameter → Punctuation → Parameter
