Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,complexity
16541,2,49,rectangle_python.jpg,rectangle_python.jpg,209668546,72,727.1188889,291.505,672,280,101,17,Rectangle,9,na,85,1,2,A
16542,2,49,rectangle_python.jpg,rectangle_python.jpg,209800534,128,714.2559375,294.249375,672,280,101,17,Rectangle,9,na,85,1,2,A
16543,2,49,rectangle_python.jpg,rectangle_python.jpg,209936305,80,709.1085,312.076,717,321,69,19,__init__,8,na,85,2,2,A
16544,2,49,rectangle_python.jpg,rectangle_python.jpg,210100249,124,798.6967742,315.9358065,799,321,53,19,(self,5,na,85,2,3,A
16545,2,49,rectangle_python.jpg,rectangle_python.jpg,210176310,72,803.66,330.6594444,799,321,53,19,(self,5,na,85,2,3,A
16546,2,49,rectangle_python.jpg,rectangle_python.jpg,210520415,328,942.8641463,313.9881707,941,321,22,19,y1,2,na,85,2,7,A
16547,2,49,rectangle_python.jpg,rectangle_python.jpg,210884439,232,768.4663793,355.7882759,695,364,78,13,self.x1,7,na,85,3,1,A
16548,2,49,rectangle_python.jpg,rectangle_python.jpg,211228366,304,816.1890789,366.0830263,806,364,23,13,x1,2,na,85,3,3,A
16549,2,49,rectangle_python.jpg,rectangle_python.jpg,211460412,180,766.5524444,410.2262222,695,406,78,17,self.y1,7,na,85,4,1,A
16550,2,49,rectangle_python.jpg,rectangle_python.jpg,211832046,184,779.8276087,491.5528261,784,491,12,18,=,1,na,85,6,2,A
16551,2,49,rectangle_python.jpg,rectangle_python.jpg,211896110,60,781.4226667,489.3813333000001,784,491,12,18,=,1,na,85,6,2,A
16552,2,49,rectangle_python.jpg,rectangle_python.jpg,212208241,276,716.6008696,501.4392754,695,491,78,18,self.y2,7,na,85,6,1,A
16553,2,49,rectangle_python.jpg,rectangle_python.jpg,212464255,252,715.0887302,503.0357143,695,491,78,18,self.y2,7,na,85,6,1,A
16554,2,49,rectangle_python.jpg,rectangle_python.jpg,213652213,260,804.9461537999999,488.2863077,806,491,23,18,y2,2,na,85,6,3,A
16555,2,49,rectangle_python.jpg,rectangle_python.jpg,213812099,156,798.3966667000001,502.7953846,806,491,23,18,y2,2,na,85,6,3,A
16556,2,49,rectangle_python.jpg,rectangle_python.jpg,215148166,336,753.7060713999999,499.9207143,695,491,78,18,self.y2,7,na,85,6,1,A
16557,2,49,rectangle_python.jpg,rectangle_python.jpg,215556029,176,754.7063636,534.8913636,766,532,6,17,(,1,na,85,7,3,A
16558,2,49,rectangle_python.jpg,rectangle_python.jpg,217112004,280,1103.749429,522.4351429,1076,532,78,17,self.x1,7,na,85,7,10,A
16559,2,49,rectangle_python.jpg,rectangle_python.jpg,217220020,104,1103.302308,531.8207692,1076,532,78,17,self.x1,7,na,85,7,10,A
16560,2,49,rectangle_python.jpg,rectangle_python.jpg,217899956,192,1012.184792,529.7616667,964,532,77,17,self.x2,7,na,85,7,8,A
16561,2,49,rectangle_python.jpg,rectangle_python.jpg,218007928,104,1013.002308,534.2861538,964,532,77,17,self.x2,7,na,85,7,8,A
16562,2,49,rectangle_python.jpg,rectangle_python.jpg,218307933,240,740.1376667000001,538.8435,695,532,56,17,width,5,na,85,7,2,A
16563,2,49,rectangle_python.jpg,rectangle_python.jpg,218563867,216,746.6861111000001,575.5092592999999,694,575,68,18,height,6,na,85,8,2,A
16564,2,49,rectangle_python.jpg,rectangle_python.jpg,218807983,176,904.4395455,575.7415909,896,575,68,18,return,6,na,85,8,7,A
16565,2,49,rectangle_python.jpg,rectangle_python.jpg,219015939,168,1035.770714,575.3545238,975,575,78,18,self.y2,7,na,85,8,8,A
16566,2,49,rectangle_python.jpg,rectangle_python.jpg,219327765,128,709.1596875,610.235625,695,617,45,18,area,4,na,85,9,2,A
16567,2,49,rectangle_python.jpg,rectangle_python.jpg,219551765,220,702.1223636,607.2196364,695,617,45,18,area,4,na,85,9,2,A
16568,2,49,rectangle_python.jpg,rectangle_python.jpg,219887859,272,913.7089706,613.4666176,874,617,68,18,return,6,na,85,9,7,A
16569,2,49,rectangle_python.jpg,rectangle_python.jpg,220015783,92,678.2347826,622.4413043,650,617,34,18,def,3,na,85,9,1,A
16570,2,49,rectangle_python.jpg,rectangle_python.jpg,220207845,188,668.2665957,632.413617,650,617,34,18,def,3,na,85,9,1,A
16571,2,49,rectangle_python.jpg,rectangle_python.jpg,220335791,124,658.6506452000001,624.0264516,650,617,34,18,def,3,na,85,9,1,A
16572,2,49,rectangle_python.jpg,rectangle_python.jpg,220631706,292,665.2458904,632.1734247,650,617,34,18,def,3,na,85,9,1,A
16573,2,49,rectangle_python.jpg,rectangle_python.jpg,221079724,276,709.804058,269.8563768,672,280,101,17,Rectangle,9,na,85,1,2,A
16574,2,49,rectangle_python.jpg,rectangle_python.jpg,221259524,104,824.3803846,607.7815385,830,617,7,18,),1,na,85,9,5,A
16575,2,49,rectangle_python.jpg,rectangle_python.jpg,221359626,96,827.17125,625.38125,830,617,7,18,),1,na,85,9,5,A
16576,2,49,rectangle_python.jpg,rectangle_python.jpg,221699651,92,882.8765217,625.0191304,874,617,68,18,return,6,na,85,9,7,A
16577,2,49,rectangle_python.jpg,rectangle_python.jpg,221955628,56,974.18,621.4771429,953,617,112,18,self.width,10,na,85,9,8,A
16578,2,49,rectangle_python.jpg,rectangle_python.jpg,222599623,156,772.9933333,371.7684615,695,364,78,13,self.x1,7,na,85,3,1,A
16579,2,49,rectangle_python.jpg,rectangle_python.jpg,222599623,156,772.9933333,371.7684615,784,364,12,13,=,1,na,85,3,2,A
16580,2,49,rectangle_python.jpg,rectangle_python.jpg,222867738,148,814.2797297000001,406.6213514,806,406,23,17,y1,2,na,85,4,3,A
16581,2,49,rectangle_python.jpg,rectangle_python.jpg,223215570,300,746.4557333,440.2010667,695,449,78,15,self.x2,7,na,85,5,1,A
16582,2,49,rectangle_python.jpg,rectangle_python.jpg,223287556,68,746.8670588,443.2288235,695,449,78,15,self.x2,7,na,85,5,1,A
16583,2,49,rectangle_python.jpg,rectangle_python.jpg,223767561,128,940.086875,664.0446875,919,660,22,17,10,2,na,85,10,9,A
16584,2,49,rectangle_python.jpg,rectangle_python.jpg,224287536,120,716.945,611.7826667,695,617,45,18,area,4,na,85,9,2,A
16585,2,49,rectangle_python.jpg,rectangle_python.jpg,224535548,244,716.334918,613.1183607,695,617,45,18,area,4,na,85,9,2,A
16586,2,49,rectangle_python.jpg,rectangle_python.jpg,224603570,64,717.09125,610.37875,695,617,45,18,area,4,na,85,9,2,A
16587,2,49,rectangle_python.jpg,rectangle_python.jpg,224779559,84,914.8309524,588.4790476,896,575,68,18,return,6,na,85,8,7,A
16588,2,49,rectangle_python.jpg,rectangle_python.jpg,225031340,88,708.3890909,708.7427273,673,701,112,18,rect1.area,10,na,85,11,2,A
16589,2,49,rectangle_python.jpg,rectangle_python.jpg,225123339,88,705.4027272999999,705.8845455000001,673,701,112,18,rect1.area,10,na,85,11,2,A
16590,2,49,rectangle_python.jpg,rectangle_python.jpg,225195357,68,703.6964706,715.9223529,673,701,112,18,rect1.area,10,na,85,11,2,A
16591,2,49,rectangle_python.jpg,rectangle_python.jpg,225387343,92,776.6321739,694.6604348,673,701,112,18,rect1.area,10,na,85,11,2,A
16592,2,49,rectangle_python.jpg,rectangle_python.jpg,226007455,60,711.9133333,692.5493333,673,701,112,18,rect1.area,10,na,85,11,2,A
16593,2,49,rectangle_python.jpg,rectangle_python.jpg,226203522,140,662.5377143,657.9802857000001,672,660,12,17,=,1,na,85,10,2,A
16594,2,49,rectangle_python.jpg,rectangle_python.jpg,226507443,240,766.9745,661.8316667,694,660,102,17,Rectangle,9,na,85,10,3,A
16595,2,49,rectangle_python.jpg,rectangle_python.jpg,226807317,64,918.201875,605.21,874,617,68,18,return,6,na,85,9,7,A
16596,2,49,rectangle_python.jpg,rectangle_python.jpg,227039333,228,921.1494737,609.854386,874,617,68,18,return,6,na,85,9,7,A
16597,2,49,rectangle_python.jpg,rectangle_python.jpg,228215286,128,1063.63875,309.9134375,1053,321,22,19,y2,2,na,85,2,11,A
16598,2,49,rectangle_python.jpg,rectangle_python.jpg,229327139,140,954.0434286,617.1288571,953,617,112,18,self.width,10,na,85,9,8,A
16599,2,49,rectangle_python.jpg,rectangle_python.jpg,229443143,112,960.5875,625.5085713999999,953,617,112,18,self.width,10,na,85,9,8,A
16600,2,49,rectangle_python.jpg,rectangle_python.jpg,229663194,180,957.5186667000002,623.3171111,953,617,112,18,self.width,10,na,85,9,8,A
16601,2,49,rectangle_python.jpg,rectangle_python.jpg,230119158,124,822.2025806,617.0967742,830,617,7,18,),1,na,85,9,5,A
16602,2,49,rectangle_python.jpg,rectangle_python.jpg,230311160,72,716.6227778,622.3727778,695,617,45,18,area,4,na,85,9,2,A
16603,2,49,rectangle_python.jpg,rectangle_python.jpg,230503002,188,713.1946809,627.0653191,695,617,45,18,area,4,na,85,9,2,A
16604,2,49,rectangle_python.jpg,rectangle_python.jpg,230710932,124,905.7345161,629.2577418999999,874,617,68,18,return,6,na,85,9,7,A
16605,2,49,rectangle_python.jpg,rectangle_python.jpg,231151036,148,681.737027,715.3348649000001,673,701,112,18,rect1.area,10,na,85,11,2,A
16606,2,49,rectangle_python.jpg,rectangle_python.jpg,231819060,116,889.6344828,738.767931,898,745,6,17,",",1,na,85,12,8,A
