Unnamed: 0,trial,participant,code_file,code_language,timestamp,duration,x_cord,y_cord,aoi_x,aoi_y,aoi_width,aoi_height,token,length,srcML,quality,line,part,Comprehension_Question_Result,complexity
11555,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13023842372,152,721.5042105,142.4857895,719,143,48,16,class,5,class,70,1,2,0,B
11556,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13023934376,88,699.2831818,146.0009091,651,143,59,16,public,6,class->specifier,70,1,1,0,B
11557,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13024138404,140,809.9077143,132.37828570000002,776,143,68,16,Vehicle,7,class->name,70,1,3,0,B
11558,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13024386465,96,767.8854167000001,149.02583330000002,776,143,68,16,Vehicle,7,class->name,70,1,3,0,B
11559,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13024502431,60,717.1046667,141.33333330000002,719,143,48,16,class,5,class,70,1,2,0,B
11560,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13024662418,152,715.4992105,133.96184209999998,719,143,48,16,class,5,class,70,1,2,0,B
11561,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13025046226,160,763.70725,172.52325,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,70,2,1,0,B
11562,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13025222297,136,734.2644118,188.3644118,712,180,58,16,String,6,class->block->decl_stmt->decl->type->name,70,2,1,0,B
11563,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13025522246,132,812.4866667,189.6545455,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,70,2,2,0,B
11564,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13025730213,148,847.6562162,194.41729730000003,778,180,78,16,producer,8,class->block->decl_stmt->decl->name,70,2,2,0,B
11565,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13025950234,180,909.4666667,194.6635556,885,180,38,16,type,4,class->block->decl_stmt->decl->name,70,2,4,0,B
11566,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13026098259,144,908.2008333,204.8591667,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,70,3,4,0,B
11567,2,33,vehicle_java2.jpg,vehicle_java2.jpg,13026170271,68,907.4529412,216.82,856,216,116,16,currentSpeed,12,class->block->decl_stmt->decl->name,70,3,4,0,B
