Participant,Trial,code_file,Programming_Language,Expertise,Comprehension_Result,Complexity,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
147,5,vehicle_java2.jpg,Java,medium,0,B,-44,-44,1,-67,-55,2
147,2,rectangle_java2.jpg,Java,medium,1,A,-122,-110,2,-135,-116,2
51,5,rectangle_java2.jpg,Java,medium,0,A,-22,-22,1,-36,-36,1
51,2,vehicle_java2.jpg,Java,medium,0,B,-9,-9,1,-17,-17,1
178,5,vehicle_java2.jpg,Java,high,0,B,-55,-55,1,-78,-78,1
178,2,rectangle_java2.jpg,Java,high,1,A,-96,-72,2,-95,-75,2
140,2,vehicle_java2.jpg,Java,high,0,B,-85,-83,2,-108,-103,2
140,5,rectangle_java2.jpg,Java,high,0,A,-41,-41,1,-55,-55,1
56,5,rectangle_java2.jpg,Java,high,1,A,-15,-15,1,-38,-38,1
56,2,vehicle_java2.jpg,Java,high,1,B,-42,-42,1,-56,-56,1
69,2,rectangle_java2.jpg,Java,high,0,A,-104,-63,3,-87,-71,2
69,5,vehicle_java2.jpg,Java,high,0,B,-98,-55,4,-122,-82,3
176,5,vehicle_java2.jpg,Java,low,0,B,-119,-60,2,-129,-98,2
176,2,rectangle_java2.jpg,Java,low,1,A,-204,-113,4,-191,-151,3
60,5,rectangle_java2.jpg,Java,medium,1,A,-90,-48,2,-84,-83,2
60,2,vehicle_java2.jpg,Java,medium,0,B,-54,-48,2,-77,-51,2
182,2,vehicle_java2.jpg,Java,medium,0,B,-184,-164,2,-195,-166,4
182,5,rectangle_java2.jpg,Java,medium,1,A,-78,-57,2,-78,-65,2
94,5,vehicle_java2.jpg,Java,medium,0,B,-22,13,2,-35,-21,2
94,2,rectangle_java2.jpg,Java,medium,0,A,-15,-15,1,-43,-43,1
185,2,rectangle_java2.jpg,Java,medium,1,A,8,8,1,-14,-14,1
93,2,vehicle_java.jpg,Java,none,0,B,-23,-23,1,-24,-24,1
93,5,rectangle_java.jpg,Java,none,0,A,-13,-13,1,-26,-26,1
171,5,rectangle_java2.jpg,Java,medium,1,A,-21,-21,1,-38,-38,1
171,2,vehicle_java2.jpg,Java,medium,0,B,-70,-52,2,-88,-55,2
67,2,rectangle_java2.jpg,Java,high,1,A,-80,-66,3,-81,-65,2
58,2,vehicle_java2.jpg,Java,medium,0,B,-21,-21,1,-36,-36,1
33,5,rectangle_java2.jpg,Java,high,1,A,-86,-48,3,-68,-62,2
33,2,vehicle_java2.jpg,Java,high,0,B,-100,-91,3,-101,-88,3
125,2,rectangle_java.jpg,Java,medium,1,A,-58,-51,2,-70,-70,1
34,5,rectangle_java2.jpg,Java,medium,0,A,-37,-37,1,-63,-63,1
34,2,vehicle_java2.jpg,Java,medium,0,B,-84,-66,2,-89,-78,3
114,5,vehicle_java2.jpg,Java,medium,0,B,1,1,1,-8,-8,1
66,2,vehicle_java2.jpg,Java,medium,0,B,0,0,1,-9,-9,1
66,5,rectangle_java2.jpg,Java,medium,1,A,-31,-31,1,-49,-49,1
170,5,vehicle_java2.jpg,Java,medium,1,B,-90,-72,2,-113,-92,2
59,2,vehicle_java.jpg,Java,medium,0,B,-95,-81,2,-118,-87,3
183,2,vehicle_java2.jpg,Java,medium,1,B,-134,-95,2,-151,-105,3
61,2,vehicle_java2.jpg,Java,medium,1,B,-67,-55,2,-83,-75,2
61,5,rectangle_java2.jpg,Java,medium,1,A,-204,-129,4,-185,-149,4
1,2,vehicle_java.jpg,Java,high,0,B,-47,-27,2,-71,-53,2
57,2,rectangle_java2.jpg,Java,medium,1,A,-2,1,2,-13,-13,1
57,5,vehicle_java2.jpg,Java,medium,0,B,-62,-62,1,-83,-69,2
141,2,vehicle_java2.jpg,Java,low,0,B,-47,-1,2,-61,-41,2
68,5,vehicle_java2.jpg,Java,medium,1,B,-11,-11,1,-27,-27,1
68,2,rectangle_java2.jpg,Java,medium,0,A,-64,-64,1,-77,-76,2
50,2,vehicle_java2.jpg,Java,medium,0,B,-252,-186,4,-257,-202,4
6,2,rectangle_java.jpg,Java,medium,1,A,-6,-6,1,-34,-34,1
6,5,vehicle_java.jpg,Java,medium,0,B,-54,-47,2,-77,-77,1
179,5,rectangle_java2.jpg,Java,low,1,A,-158,-97,3,-151,-118,2
179,2,vehicle_java2.jpg,Java,low,0,B,-109,-82,2,-132,-99,2
112,2,rectangle_java2.jpg,Java,medium,1,A,-111,-59,3,-97,-74,2
115,5,vehicle_java2.jpg,Java,medium,0,B,-164,-110,3,-157,-131,4
115,2,rectangle_java2.jpg,Java,medium,1,A,-22,-22,1,-49,-49,1
123,2,rectangle_java.jpg,Java,high,0,A,-36,-13,2,-60,-60,1
35,2,rectangle_java2.jpg,Java,low,1,A,-19,-18,2,-36,-36,1
35,5,vehicle_java2.jpg,Java,low,0,B,-92,-78,2,-113,-93,2
124,5,rectangle_java2.jpg,Java,medium,1,A,-92,-69,2,-106,-96,2
124,2,vehicle_java2.jpg,Java,medium,1,B,-120,-102,2,-139,-115,3
32,2,rectangle_java2.jpg,Java,high,1,A,5,5,1,-31,-31,1
32,5,vehicle_java2.jpg,Java,high,0,B,-19,-19,1,-35,-35,1
206,5,rectangle_java2.jpg,Java,low,0,A,-230,-170,4,-223,-184,3
206,2,vehicle_java2.jpg,Java,low,0,B,-97,-77,2,-119,-104,2
201,5,vehicle_java2.jpg,Java,medium,0,B,10,10,1,-11,-11,1
201,2,rectangle_java2.jpg,Java,medium,1,A,-16,-16,1,-44,-44,1
208,5,rectangle_java2.jpg,Java,low,1,A,-90,-78,2,-90,-88,2
200,2,vehicle_java.jpg,Java,low,1,B,-41,-40,2,-57,-52,2
200,5,rectangle_java.jpg,Java,low,1,A,-108,-96,3,-125,-121,2
207,2,vehicle_java2.jpg,Java,medium,0,B,-104,-104,1,-121,-112,2
207,5,rectangle_java2.jpg,Java,medium,1,A,-112,-96,2,-111,-94,2
214,5,vehicle_java2.jpg,Java,medium,1,B,-238,-125,4,-243,-180,4
214,2,rectangle_java2.jpg,Java,medium,1,A,-154,-112,3,-148,-118,3
212,2,rectangle_java2.jpg,Java,medium,0,A,-88,-75,3,-93,-86,2
215,5,rectangle_java2.jpg,Java,medium,0,A,-50,-32,2,-55,-55,1
215,2,vehicle_java2.jpg,Java,medium,1,B,-110,-82,3,-121,-98,3
106,2,vehicle_java2.jpg,Java,medium,0,B,-94,-71,2,-104,-89,2
10,5,vehicle_java.jpg,Java,medium,0,B,-15,-15,1,-37,-37,1
139,5,vehicle_java2.jpg,Java,low,0,B,-2,-2,1,-10,-10,1
101,2,rectangle_java2.jpg,Java,medium,0,A,-57,-11,2,-59,-59,1
101,5,vehicle_java2.jpg,Java,medium,1,B,-338,-207,6,-343,-245,7
17,2,rectangle_java2.jpg,Java,medium,1,A,-78,-78,1,-89,-89,1
