Participant,Trial,code_file,Programming_Language,Expertise,Complexity,Stage,Story_Order_Naive_Score,Story_Order_Dynamic_Score,Story_Order_Dynamic_Repetitions,Execution_Order_Naive_Score,Execution_Order_Dynamic_Score,Execution_Order_Dynamic_Repetitions
147,5,vehicle_java2.jpg,Java,medium,B,stage1,-25,-25,1,-26,-26,1
147,5,vehicle_java2.jpg,Java,medium,B,stage2,-46,-46,1,-47,-47,1
147,2,rectangle_java2.jpg,Java,medium,A,stage1,-41,-41,1,-40,-40,1
147,2,rectangle_java2.jpg,Java,medium,A,stage2,-88,-76,2,-83,-83,1
51,2,vehicle_java2.jpg,Java,medium,B,stage2,-25,-25,1,-35,-35,1
51,5,rectangle_java2.jpg,Java,medium,A,stage2,-35,-35,1,-52,-52,1
51,2,vehicle_java2.jpg,Java,medium,B,stage1,-19,-19,1,-15,-15,1
51,5,rectangle_java2.jpg,Java,medium,A,stage1,-2,-2,1,-11,-11,1
178,2,rectangle_java2.jpg,Java,high,A,stage1,-39,-39,1,-33,-33,1
178,2,rectangle_java2.jpg,Java,high,A,stage2,-36,-36,1,-50,-50,1
178,5,vehicle_java2.jpg,Java,high,B,stage1,-62,-62,1,-58,-58,1
178,5,vehicle_java2.jpg,Java,high,B,stage2,-14,-14,1,-39,-39,1
140,2,vehicle_java2.jpg,Java,high,B,stage2,-41,-41,1,-66,-66,1
140,2,vehicle_java2.jpg,Java,high,B,stage1,-48,-48,1,-47,-47,1
140,5,rectangle_java2.jpg,Java,high,A,stage2,-50,-50,1,-47,-47,1
140,5,rectangle_java2.jpg,Java,high,A,stage1,-10,-10,1,-19,-19,1
56,5,rectangle_java2.jpg,Java,high,A,stage2,-27,-27,1,-30,-30,1
56,5,rectangle_java2.jpg,Java,high,A,stage1,-4,-4,1,-23,-23,1
56,2,vehicle_java2.jpg,Java,high,B,stage2,-20,-20,1,-36,-36,1
56,2,vehicle_java2.jpg,Java,high,B,stage1,-34,-34,1,-29,-29,1
69,2,rectangle_java2.jpg,Java,high,A,stage1,-8,-8,1,-20,-20,1
69,5,vehicle_java2.jpg,Java,high,B,stage1,6,6,1,-18,-18,1
69,2,rectangle_java2.jpg,Java,high,A,stage2,-80,-57,2,-53,-53,1
69,5,vehicle_java2.jpg,Java,high,B,stage2,-78,-64,3,-82,-75,2
176,2,rectangle_java2.jpg,Java,low,A,stage2,-102,-84,2,-120,-109,2
176,2,rectangle_java2.jpg,Java,low,A,stage1,-44,-44,1,-61,-61,1
176,5,vehicle_java2.jpg,Java,low,B,stage1,-7,-7,1,-31,-31,1
176,5,vehicle_java2.jpg,Java,low,B,stage2,-56,-56,1,-73,-73,1
60,5,rectangle_java2.jpg,Java,medium,A,stage1,-23,-23,1,-37,-37,1
60,5,rectangle_java2.jpg,Java,medium,A,stage2,-50,-42,2,-54,-54,1
60,2,vehicle_java2.jpg,Java,medium,B,stage2,-48,-48,1,-40,-40,1
60,2,vehicle_java2.jpg,Java,medium,B,stage1,-14,-14,1,-16,-16,1
182,5,rectangle_java2.jpg,Java,medium,A,stage1,-20,-20,1,-33,-33,1
182,5,rectangle_java2.jpg,Java,medium,A,stage2,-44,-44,1,-40,-40,1
182,2,vehicle_java2.jpg,Java,medium,B,stage2,-72,-72,1,-96,-77,2
182,2,vehicle_java2.jpg,Java,medium,B,stage1,-94,-94,1,-99,-91,2
94,5,vehicle_java2.jpg,Java,medium,B,stage1,18,18,1,-4,-4,1
94,2,rectangle_java2.jpg,Java,medium,A,stage2,5,5,1,-30,-30,1
94,5,vehicle_java2.jpg,Java,medium,B,stage2,-7,-7,1,-18,-18,1
94,2,rectangle_java2.jpg,Java,medium,A,stage1,-44,-44,1,-46,-46,1
185,2,rectangle_java2.jpg,Java,medium,A,stage2,-23,-23,1,-27,-27,1
185,2,rectangle_java2.jpg,Java,medium,A,stage1,5,5,1,-5,-5,1
93,2,vehicle_java.jpg,Java,none,B,stage2,-31,-31,1,-36,-36,1
93,2,vehicle_java.jpg,Java,none,B,stage1,-29,-29,1,-25,-25,1
93,5,rectangle_java.jpg,Java,none,A,stage1,-23,-23,1,-39,-39,1
